"state","county","trump","clinton","romney","obama","voting_population","white_pct","black_pct","hispanic_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","median_income","lesscollege_pct","rural_pct"
"Montana","Broadwater",2348,573,2152,764,4510,93.7456078706957,0.175685172171469,1.22979620520028,2.67041461700632,48.559381588194,31.3070976809557,20.5375966268447,50946,72.6988704638308,100
"Montana","Carbon",3748,1828,3533,2146,8385,94.7872340425532,0.00967117988394584,2.37911025145068,1.27659574468085,49.9903288201161,28.1431334622824,22.7466150870406,52869,70.8381025054051,100
"Montana","Carter",678,70,678,96,1035,96.6023166023166,0,1.38996138996139,0.0772200772200772,51.7374517374517,30.8108108108108,24.9420849420849,46985,82.8601472134595,100
"Montana","Cascade",19632,12175,18345,15232,63040,86.1265828955868,1.15662591865836,4.08658240807322,1.99758680788309,49.727601798925,39.732355056125,17.0861314580312,45469,74.0595667870036,19.8212155864596
"Montana","Chouteau",1679,732,1758,978,4370,76.3234538290218,0.0513962652047285,2.12437896179544,1.33630289532294,50.3512078122323,38.7699160527668,18.0229569984581,38735,75.2505782575173,100
"Montana","Custer",3657,1176,3373,1833,9300,92.7378964941569,0.358931552587646,2.9465776293823,1.34390651085142,49.9248747913189,37.1619365609349,18.5058430717863,50146,80.1490922207527,17.9075134626891
"Montana","Daniels",730,168,740,237,1430,96.8662562954673,0,2.1264689423615,3.69334079462787,50.8673754896475,29.8265249020705,24.0626748740907,51108,76.2737642585551,100
"Montana","Dawson",3320,787,3029,1219,7255,92.8851659421058,0.657406425617644,2.78867564415226,1.35722616901707,47.2484360089068,37.3025129890786,16.8592938182589,57591,81.0955961331901,27.5708231095249
"Montana","Deer Lodge",1763,2058,1448,2860,7720,90.7476024411508,0.3487358326068,3.07323452484743,1.87445510026155,46.7850915431561,29.9803836094159,20.8914559721011,39212,84.100540698524,33.6416433641643
"Montana","Fallon",1279,154,1128,237,2160,94.4730518365946,1.304497082046,1.7164435290079,1.33882595262616,47.6484723652592,38.036388602815,15.8256093374528,50114,85.2376137512639,100
"Montana","Fergus",4269,1202,4257,1640,8960,94.4527080234491,0.157494093971476,0.822469157406597,1.76743372123545,49.6893866480007,31.866305013562,22.6878992037799,42357,71.3979518933079,47.4365613671673
"Montana","Flathead",30240,13293,28309,13892,72845,93.3196755934781,0.247106530370871,2.55237813635212,2.019092675509,50.0707527245079,35.3119455943229,17.0155022387429,48407,71.0750030145906,51.4846911842337
"Montana","Gallatin",23802,24246,24358,21961,76135,92.5907021376508,0.360358520998795,3.13910043079687,3.13195451111701,48.4381061271157,44.8743338982013,11.1537597745973,57021,51.9810056046388,33.5426139220002
"Montana","Garfield",653,34,622,66,840,99.2459943449576,0,0.754005655042413,0,51.9321394910462,33.8360037700283,24.0339302544769,42614,85.3562005277045,100
"Montana","Glacier",1620,3121,1415,2924,9220,31.3253012048193,0.262869660460022,2.81854691493246,1.65753924790069,50.9163928441037,48.1635633442862,11.069733479372,29181,81.7419597046677,44.0107470706769
"Montana","Golden Valley",365,71,351,110,595,90.2739726027397,0,6.71232876712329,0.684931506849315,52.8767123287671,24.3835616438356,24.5205479452055,44000,76.4397905759162,100
"Montana","Granite",1192,472,1107,533,2590,94.7073474470735,0.062266500622665,1.99252801992528,1.36986301369863,48.692403486924,26.0585305105853,28.4246575342466,48688,74.9897666803111,100
"Montana","Hill",3478,2371,3164,3403,11990,70.766531550608,0.0181499183253675,3.27303527134128,1.13134490894791,49.4524774638514,44.6548490531793,13.8665376005808,42979,76.5116956226342,40.0037276341948
"Montana","Jefferson",4177,1998,4055,2272,9075,93.2074821136109,0.0689595724506508,2.18946642530816,1.42229118179467,48.6423584173778,31.1955865873632,18.5415050426687,62939,66.9313737110347,100
"Montana","Judith Basin",872,235,854,337,1655,97.0721857647653,0,1.51438667339727,1.26198889449773,47.8041393235739,25.0378596668349,23.6749116607774,45347,68.6615186615187,100
"Montana","Lake",7530,4776,7135,5805,21840,65.8592337347753,0.245641568012009,4.08379106819965,2.19371566988503,50.8102760055952,37.1430520964825,19.5592098529562,39898,75.0552430695058,83.4307381896612
"Montana","Lewis and Clark",16895,14478,16803,15620,51235,91.8350028034976,0.419766930852112,2.96109957720226,1.45630332328115,50.2356453348285,35.9756929185167,16.1466304990226,59170,62.5116662687474,28.9297263191103
"Montana","Liberty",698,206,702,257,1855,96.8150087260035,0,0.741710296684119,1.39616055846422,50.3926701570681,33.6387434554974,22.2949389179756,46597,81.5965874466789,100
"Montana","Lincoln",6729,2041,6057,2552,15640,93.3516711646253,0.0570894747768321,2.67801536225867,2.34585841810255,49.9740502387378,27.9790325929001,24.8287315756695,35461,81.0413245758073,79.793772540255
