party,post_id,shares,likes,total_interactions,ad_group
AfD,540404695989874_2360986167265042,3674,905,9036,not sponsored
AfD,540404695989874_2335447273152265,2192,1175,5585,not sponsored
AfD,540404695989874_2348528458510813,449,1605,2321,not sponsored
AfD,100035206962284_2342562292440763,0,0,0,not sponsored
AfD,540404695989874_2340493189314340,1523,1109,5551,not sponsored
AfD,540404695989874_2343371235693202,1176,1090,4743,not sponsored
AfD,540404695989874_2433940333302958,963,5339,7012,not sponsored
AfD,540404695989874_2344214372275555,783,1768,5297,not sponsored
AfD,540404695989874_2340321415998184,1365,3776,5520,not sponsored
AfD,540404695989874_2351382388225420,383,183,1132,not sponsored
AfD,540404695989874_2356214677742191,133,769,983,not sponsored
AfD,540404695989874_2356591294371196,2730,591,6740,not sponsored
AfD,540404695989874_2340824992614493,938,1837,3131,not sponsored
AfD,540404695989874_2350301441666848,118,419,949,not sponsored
AfD,540404695989874_2355114201185572,1265,1524,3047,not sponsored
AfD,540404695989874_2356209107742748,50,516,605,not sponsored
AfD,540404695989874_2345446872152305,59,235,333,not sponsored
AfD,540404695989874_2345117932185199,2103,1070,6459,not sponsored
AfD,540404695989874_2345080965522229,1117,788,3968,not sponsored
AfD,540404695989874_2348252751871717,2479,10035,14382,not sponsored
AfD,540404695989874_2270624709634522,1198,7275,9199,not sponsored
AfD,540404695989874_2430761066954218,420,2456,3179,not sponsored
AfD,540404695989874_2335671969796462,291,2067,2847,not sponsored
AfD,540404695989874_2333351450028514,1618,1885,4420,not sponsored
AfD,540404695989874_2334127413284251,1484,2856,5238,not sponsored
AfD,540404695989874_2338792902817702,5523,1605,12843,not sponsored
AfD,540404695989874_2346739152023077,2641,3974,8125,not sponsored
AfD,540404695989874_2341874729176186,784,2093,3133,not sponsored
AfD,540404695989874_2337176162979376,1241,830,3657,not sponsored
AfD,540404695989874_2335528439810815,1346,3005,4916,not sponsored
AfD,540404695989874_2340310155999310,6208,1583,14182,not sponsored
AfD,540404695989874_2335443506485975,1033,2091,3709,not sponsored
AfD,540404695989874_2337249279638731,839,3124,4853,not sponsored
AfD,540404695989874_2427864197243905,482,2422,3380,not sponsored
AfD,540404695989874_2333393943357598,1694,3097,6204,not sponsored
AfD,540404695989874_2329807953716197,2125,4644,8080,not sponsored
AfD,540404695989874_2338878796142446,1425,1610,4074,not sponsored
AfD,540404695989874_2339098709453788,754,566,2295,not sponsored
AfD,540404695989874_2327968147233511,759,2006,3006,not sponsored
AfD,540404695989874_2325621467468179,605,728,1500,not sponsored
AfD,540404695989874_2332420983454894,276,1177,1687,not sponsored
AfD,540404695989874_2337205732976419,2108,1158,5920,not sponsored
AfD,540404695989874_2425401800823478,11531,3851,24741,not sponsored
AfD,540404695989874_2335447713152221,5523,2286,12246,not sponsored
AfD,540404695989874_2335638763133116,937,2224,3865,not sponsored
AfD,540404695989874_2325198914177101,240,949,1303,not sponsored
AfD,540404695989874_2331103280253331,1357,1030,3591,not sponsored
AfD,540404695989874_2326518857378440,1225,4049,5735,not sponsored
AfD,540404695989874_2318355354861457,1333,1216,3976,not sponsored
AfD,540404695989874_2328103990553260,3781,1009,9784,not sponsored
AfD,540404695989874_2332861890077470,264,1553,2063,not sponsored
AfD,540404695989874_2317982151565444,1433,875,4789,not sponsored
AfD,540404695989874_2319489278081398,1089,3150,4848,not sponsored
AfD,540404695989874_2316933901670269,728,1694,2618,not sponsored
AfD,540404695989874_2331111403585852,1557,657,4080,not sponsored
AfD,540404695989874_2330972166933109,238,650,1017,not sponsored
AfD,540404695989874_2329483427081983,4426,3601,9350,not sponsored
AfD,540404695989874_2317810011582658,2204,886,5867,not sponsored
AfD,540404695989874_2329895910374068,442,1945,2610,not sponsored
AfD,540404695989874_2329693597060966,1063,2115,3951,not sponsored
AfD,540404695989874_2325379247492401,1117,1643,4036,not sponsored
AfD,540404695989874_2327920463904946,149,293,650,not sponsored
AfD,540404695989874_2316548311708828,2146,2416,6521,not sponsored
AfD,100004611013509_2314312881932371,0,0,0,not sponsored
AfD,540404695989874_2325069494190043,726,1246,2345,not sponsored
AfD,540404695989874_2327942907236035,2276,828,6744,not sponsored
AfD,540404695989874_2325166547513671,2932,10736,15333,not sponsored
AfD,540404695989874_2315289148501411,50,347,427,not sponsored
AfD,540404695989874_2318461704850822,2156,1707,12211,not sponsored
AfD,540404695989874_2319127314784261,878,2639,4047,not sponsored
AfD,540404695989874_2313856691977990,2085,3433,6881,not sponsored
AfD,540404695989874_2319318668098459,1862,1533,5530,not sponsored
AfD,540404695989874_2325087650854894,2452,1982,6351,not sponsored
AfD,540404695989874_2323746814322311,1116,3323,4889,not sponsored
AfD,540404695989874_2308718875825105,375,1114,1626,not sponsored
AfD,540404695989874_2309842669046059,505,518,2963,not sponsored
AfD,540404695989874_2315184898511836,57,287,382,not sponsored
AfD,540404695989874_2308337762529883,3002,1731,7561,not sponsored
AfD,540404695989874_2319323531431306,589,325,2129,not sponsored
AfD,540404695989874_2320567387973587,600,772,2439,not sponsored
AfD,540404695989874_2310211375675855,1498,1170,4708,not sponsored
AfD,540404695989874_2308199595877033,3716,1432,9509,not sponsored
AfD,540404695989874_2308419349188391,2957,8617,13302,not sponsored
AfD,540404695989874_2308171342546525,2473,7399,15428,not sponsored
AfD,540404695989874_1041687282622142,375,1257,3413,not sponsored
AfD,540404695989874_2317654678264858,600,623,2954,not sponsored
AfD,540404695989874_2316588651704794,1554,2541,5161,not sponsored
AfD,540404695989874_2317651634931829,1024,912,2886,not sponsored
AfD,540404695989874_2303769366320056,1197,1548,4186,not sponsored
AfD,540404695989874_2408159205881071,2614,1557,7261,not sponsored
AfD,540404695989874_2316666891696970,2448,699,6132,not sponsored
AfD,540404695989874_2302965906400402,1593,1836,5420,not sponsored
AfD,540404695989874_2315464875150505,1080,484,3966,not sponsored
AfD,540404695989874_2312612338769092,1048,1254,4585,not sponsored
AfD,540404695989874_2316928675004125,1434,2983,5135,not sponsored
AfD,540404695989874_2311136772249982,1030,3448,4971,not sponsored
AfD,540404695989874_2313961841967475,4034,1224,10912,not sponsored
AfD,540404695989874_2312486388781687,677,2101,3203,not sponsored
AfD,540404695989874_2308400442523615,3675,1566,8998,not sponsored
AfD,540404695989874_2315547555142237,4022,1019,7794,not sponsored
AfD,540404695989874_2311206208909705,336,1577,2086,not sponsored
AfD,540404695989874_2299595623404097,1133,3748,5709,not sponsored
AfD,540404695989874_2308640652499594,262,1401,1838,not sponsored
AfD,540404695989874_2299124190117907,1831,1394,4813,not sponsored
AfD,540404695989874_2315317665165226,2098,2014,5448,not sponsored
AfD,540404695989874_2300654583298201,1169,1502,4966,not sponsored
AfD,540404695989874_2313941661969493,2088,1770,7842,not sponsored
AfD,540404695989874_2306844052679254,2004,2180,5733,not sponsored
AfD,540404695989874_2305540879476238,579,1775,2583,not sponsored
AfD,540404695989874_2305500186146974,2340,3359,7087,not sponsored
AfD,540404695989874_2306716829358643,1648,715,7819,not sponsored
AfD,540404695989874_2303709359659390,4134,3475,10981,not sponsored
AfD,540404695989874_2305771889453137,486,594,2638,not sponsored
AfD,540404695989874_2307745015922491,688,1664,2647,not sponsored
AfD,540404695989874_2299517833411876,1857,684,6195,not sponsored
AfD,540404695989874_2296251463738513,774,2652,3676,not sponsored
AfD,540404695989874_2303049276392065,2528,1309,6679,not sponsored
AfD,540404695989874_2306765239353802,101,608,777,not sponsored
AfD,540404695989874_2303834649646861,2392,3349,6553,not sponsored
AfD,540404695989874_2307347545962238,1419,2269,4093,not sponsored
AfD,540404695989874_2298562246840768,955,561,3054,not sponsored
AfD,540404695989874_2302441216452871,895,593,2641,not sponsored
AfD,540404695989874_2299368406760152,1595,2203,5257,not sponsored
AfD,540404695989874_2304171219613204,1369,719,3725,not sponsored
AfD,540404695989874_2299147393448920,1040,1653,5130,not sponsored
AfD,540404695989874_2300044696692523,2003,796,5701,not sponsored
AfD,540404695989874_2302242563139403,384,780,2111,not sponsored
AfD,540404695989874_2299919730038353,1710,536,5648,not sponsored
AfD,540404695989874_2299072910123035,1502,4656,9870,not sponsored
AfD,570893299597210_2571865376166649,7,87,121,not sponsored
AfD,570893299597210_2570306232989230,1,75,86,not sponsored
AfD,570893299597210_2568476496505537,20,30,126,not sponsored
AfD,570893299597210_2568814799805040,25,180,251,not sponsored
AfD,570893299597210_2566530010033519,9,95,117,not sponsored
AfD,570893299597210_2566278166725370,20,165,204,not sponsored
AfD,570893299597210_2568012426551944,7,36,51,not sponsored
AfD,570893299597210_2563362337016953,18,441,527,not sponsored
AfD,570893299597210_2564654133554440,6,74,157,not sponsored
AfD,570893299597210_2564439293575924,64,463,598,not sponsored
AfD,570893299597210_2560750810611439,13,166,198,not sponsored
AfD,570893299597210_2562555577097629,14,157,196,not sponsored
AfD,570893299597210_2559355090751011,26,35,230,not sponsored
AfD,570893299597210_2561270187226168,18,76,132,not sponsored
AfD,570893299597210_2554445871241933,7,29,73,not sponsored
AfD,570893299597210_2554243927928794,17,75,108,not sponsored
AfD,570893299597210_2557141004305753,19,21,102,not sponsored
AfD,570893299597210_2557557494264104,13,30,105,not sponsored
AfD,570893299597210_2554053021281218,13,17,85,not sponsored
AfD,570893299597210_2556117087741478,4,18,26,not sponsored
AfD,570893299597210_2555597051126815,18,54,94,not sponsored
AfD,570893299597210_2555375124482341,17,89,123,not sponsored
AfD,570893299597210_2558911580795362,58,63,240,not sponsored
AfD,570893299597210_2539715966048257,15,17,68,not sponsored
AfD,570893299597210_2552040114815842,14,89,113,not sponsored
AfD,570893299597210_2552260664793787,49,69,301,not sponsored
AfD,570893299597210_2555637537789433,264,261,582,not sponsored
AfD,570893299597210_2543577025662151,2,25,28,not sponsored
AfD,570893299597210_2535120643174456,3,26,30,not sponsored
